Gejala,Parvovirus,Coronavirus,Hepatitis,Parainfluenza,Distemper Cerna,Distemper Nafas,Distemper Kulit,Distemper Syaraf,Rabies
Lesu,0.7,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1
Demam,0.6,0.5,0.6,0.6,0.6,0.1,0.1,0.1,0.1
Anoreksia,0.7,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.1
Senang ditempat dingin,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Pucat,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Suhu badan dibawah normal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Batuk,0.1,0.1,0.1,0.8,0.1,0.8,0.1,0.1,0.1
Batuk terus menerus,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1
Batuk seperti tersedak,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Batuk berdahak putih berbusa,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Batuk disertai muntah kuning,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Hidung mengering,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Bersin-bersin,0.1,0.1,0.1,0.7,0.1,0.7,0.1,0.1,0.1
Sulit menelan makanan,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Pilek,0.1,0.1,0.1,0.7,0.1,0.7,0.1,0.1,0.1
Sesak nafas,0.1,0.1,0.1,0.7,0.1,0.7,0.1,0.1,0.1
Mata sayu,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mata merah,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1
Leleran jernih,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Leleran kuning,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mata kuning,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1
Gusi kuning,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1
Mual,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Muntah,0.9,0.7,0.6,0.1,0.7,0.1,0.1,0.1,0.1
Diare,0.9,0.8,0.1,0.1,0.8,0.1,0.1,0.1,0.1
Diare terus menerus,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Diare kuning kehijauan,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Diare berdarah,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dehidrasi,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sering minum,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Perut membesar,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Bengkak tubuh,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kulit kuning,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1
Sering tidur,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Menyendiri,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Bersembunyi,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Pendiam,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gelisah,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Agresif,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9
Takut cahaya,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Takut air,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9
Ekor turun,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mulut berbusa,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9
Mata juling,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.1
Kelumpuhan,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.7
Bau badan,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Bulu kusam,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.1
Kulit mengelupas,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1
Kulit bernanah,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1
Telapak kaki mengeras,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.1
Kedutan,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1
Kejang,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.8
